"Title: Distribution of the Total Population by Federal Poverty Level (above and below 200% FPL) | KFF"
"Timeframe: 2008 - 2023"
"Location","2008__Under 200%","2008__200%+","2008__Total","2009__Under 200%","2009__200%+","2009__Total","2010__Under 200%","2010__200%+","2010__Total","2011__Under 200%","2011__200%+","2011__Total","2012__Under 200%","2012__200%+","2012__Total","2013__Under 200%","2013__200%+","2013__Total","2014__Under 200%","2014__200%+","2014__Total","2015__Under 200%","2015__200%+","2015__Total","2016__Under 200%","2016__200%+","2016__Total","2017__Under 200%","2017__200%+","2017__Total","2018__Under 200%","2018__200%+","2018__Total","2019__Under 200%","2019__200%+","2019__Total","2021__Under 200%","2021__200%+","2021__Total","2022__Under 200%","2022__200%+","2022__Total","2023__Under 200%","2023__200%+","2023__Total",Footnotes
"United States","91347600","203922100","295269800","97421800","200575900","297997800","103423500","197382700","300806200","106362800","196717900","303080600","106949600","198427000","305376600","106758000","200747500","307505500","106087800","204124500","310212200","103127800","209650100","312777900","99900200","214566200","314466400","98125300","218897200","317022500","96825600","221672900","318498500","92396500","227000000","319000000","92541600","230634200","323175700","91882300","232603700","324486000","92036700","234041900","326078600","1"
"Michigan","3122300","6642200","9764400","3353300","6371000","9724300","3409300","6248300","9657600","3455000","6200100","9655100","3500600","6158700","9659300","3410100","6254200","9664300","3330300","6352400","9682700","3254800","6439000","9693800","3116000","6577500","9693500","3084600","6635800","9720300","3054100","6716000","9770000","2908700","6857000","9765600","2910400","6931400","9841800","2849700","6974900","9824500","2894200","6927600","9821800"
"Minnesota","1224500","3860000","5084500","1318900","3810000","5128900","1413300","3774200","5187500","1421700","3800700","5222300","1380800","3875500","5256300","1406600","3881200","5287800","1402300","3928000","5330400","1337500","4028100","5365600","1292700","4100300","5392900","1270300","4176300","5446600","1317400","4171500","5489000","1213500","4301300","5514800","1218900","4366200","5585100","1243900","4356600","5600400","1222100","4392700","5614900"
"Mississippi","1231500","1595200","2826800","1263000","1573300","2836300","1325600","1541500","2867200","1336900","1541600","2878500","1367400","1517200","2884500","1357400","1531800","2889200","1305700","1581100","2886800","1305700","1583600","2889300","1208500","1678800","2887300","1204400","1680100","2884500","1189900","1689500","2879400","1180300","1686900","2867100","1134500","1716100","2850600","1128600","1700300","2828900","1134700","1698800","2833500"
"Missouri","1854700","3873500","5728200","1958800","3847100","5805900","2052600","3749500","5802000","2051900","3771500","5823500","2103500","3727200","5830600","2088800","3764300","5853100","2024400","3845900","5870200","1977400","3913500","5890900","1917300","3980800","5898000","1904500","4016800","5921300","1867200","4067300","5934500","1845800","4094100","5939900","1764800","4222700","5987500","1774500","4215500","5990000","1787900","4228100","6016000"
"Montana","310000","628500","938500","338000","604700","942700","335800","627100","962800","353400","618300","971600","372000","606700","978700","360200","626100","986300","366200","627400","993700","337200","668800","1005900","342400","672700","1015100","323100","699500","1022600","331700","702300","1034000","321300","718200","1039400","314400","759400","1073800","332700","760700","1093400","308000","797600","1105600"
"Nebraska","492300","1228700","1721000","531400","1199900","1731300","570400","1200600","1771000","551100","1231100","1782300","558000","1237100","1795100","572400","1238800","1811200","565100","1258700","1823700","559100","1279200","1838400","536400","1308600","1845000","516400","1342800","1859200","544200","1324700","1868900","496300","1377200","1873600","495400","1411600","1907000","504200","1409500","1913700","509000","1415400","1924500"
"Nevada","747100","1809700","2556800","832500","1763800","2596300","930000","1727600","2657600","1015500","1660300","2675800","1001900","1709000","2710900","1012100","1733400","2745400","1032400","1762800","2795200","1019800","1822900","2842700","985200","1905200","2890400","951700","1994900","2946600","947600","2035700","2983400","924600","2105000","3029700","982900","2107400","3090300","950000","2175400","3125400","922400","2217100","3139600"
"New Hampshire","254900","1020400","1275300","277100","1005900","1282900","284100","991900","1276000","283700","994500","1278200","307900","972200","1280100","294700","986000","1280700","289800","996700","1286500","261300","1026300","1287600","251000","1040400","1291300","248300","1048600","1297000","262600","1047700","1310300","252000","1062000","1314000","234800","1111900","1346700","233000","1125400","1358400","233900","1127500","1361400"
"New Jersey","1771400","6723200","8494600","1919500","6599700","8519200","2039600","6580800","8620400","2128900","6509800","8638700","2156900","6528600","8685500","2215700","6501200","8716900","2176300","6579900","8756200","2156100","6620200","8776300","2082200","6680500","8762700","1990100","6833700","8823900","1918800","6809500","8728300","1846900","6852500","8699400","1996200","7088900","9085100","1968400","7122900","9091400","1982400","7141700","9124100"
"New Mexico","773300","1160700","1934000","788500","1170000","1958500","859100","1158900","2018000","894700","1141800","2036500","880000","1159200","2039200","902100","1138100","2040200","886600","1150100","2036700","874800","1160600","2035300","844200","1185200","2029400","830800","1207400","2038200","861600","1183700","2045300","768700","1272700","2041400","811500","1251700","2063100","754900","1302800","2057700","781400","1281000","2062400"
"New York","5550200","13393800","18944000","5775700","13214700","18990400","6039800","12820200","18860000","6240200","12700300","18940500","6287200","12752900","19040100","6272100","12847500","19119600","6247300","12969000","19216400","6040600","13228600","19269200","5924200","13297300","19221500","5805800","13509900","19315700","5644100","13372800","19016900","5181000","13727300","18908300","5449200","13860600","19309800","5491400","13670400","19161800","5456900","13591500","19048400"
"North Carolina","3026900","5859300","8886300","3312800","5713900","9026700","3559800","5681300","9241100","3702300","5650800","9353100","3705700","5733500","9439200","3701300","5821300","9522500","3767500","5865400","9632900","3660700","6073000","9733700","3474200","6355700","9829900","3399000","6549800","9948800","3366800","6677600","10044400","3255600","6884100","10139700","3202200","7009500","10211700","3135400","7204800","10340200","3163800","7319600","10483400"
"North Dakota","177800","432500","610300","167600","447800","615400","187800","459300","647200","186000","471100","657100","177500","494400","671900","192300","501200","693500","186200","522200","708400","189600","536800","726400","186400","539500","725900","174200","551700","726000","180400","550200","730600","183000","548000","731000","183900","557800","741600","177100","566900","744000","169100","575400","744500"
